,,,,,,,,,,,,,,↓閻・畢より確認して3/24日に報告してください。,,
,No,区分,システム,業務,説明,優先順位,進捗,難易度,登録者,大体影響範囲,影響度(中国側判断）,影響度(日本側判断）,備考,チケットNo,対応進捗,提案
,1,注釈,POS4U,音声定義,Self_SameItemEnterの注釈問題,低,未着手,簡単,,,,,同じ⇒同一,,,
,2,命名,POS4U,クレジット,Device.CAFISArchLAN,低,未着手,簡単,,新クレジット,,,,-,CT6100の展開に伴い、CAFISArchLANクレジット運用が置き換えられました,
,3,命名,POS4U,Attendant,Device.SelfApiConnectionServie、Device.StateManagementServie,低,未着手,簡単,,Attendantへ送信、Attendantからバーコード無し商品と防犯商品取得,,,,,,
,4,命名,POS4U,オーダー,Device.CRM、SettingMasterKeys.CRMBaseURL,低,未着手,簡単,,オーダー支払済データ送信,,,,,,
,5,命名,POS4U,オーダー,命名、クラスの警告,低,未着手,簡単,,オーダー,,,,,,SnoarQubeで一部分の問題が解決できる
,6,命名,POS4U,レシート印字,CommonLayout.AddPaymentStationInfo,低,未着手,簡単,,売上取引レシート印字,,,,,,
,7,命名,POS4U,メッセージID定義,命名エラー(TextTermianlNo⇒TextTerminalNo),低,未着手,簡単,,,,,,,,SnoarQubeで一部分の問題が解決できる
,8,命名,POS4U,RT300釣銭機,DepositUpdate，命名＆アクセス権限,低,未着手,簡単,,釣銭機預りデータ,,,,,,SnoarQubeで一部分の問題が解決できる
,9,不具合,POS4U,会員登録,普通会員カードでログインした場合、ログイン方法OneTimeBarcodeとして記録される,低,未着手,普通,,会員登録,,,確認段階（修正するとは言っていない）、TFS検討中,,,
,10,不具合,POS4U,顔認証,セルフ、顔認証ダイアログ表示する時、二つ店舗名が表示された,低,未着手,簡単,,セルフ左上の店舗名表示,,,,,,
,11,不具合,POS4U,現金預り,セルフのプリンターエラー状態でtranの預り金を更新されない,低,未着手,普通,,釣銭機預り金額,,,保留,,,
,12,不具合,POS4U,セルフ,取引中止待ちダイアログで26Janコードをスキャンしてエラー表示,低,未着手,普通,,セルフ取引中止,,,,,,
,13,不具合,POS4U、BackgroundService,ポイント後付,クレジット支払、ポイント付与あり、ポイント付与オフラインの場合、2重ポイント後付けになる,低,未着手,普通,,EJournal作成、ポイント後付け,,,発生可能性が非常に低い,,,
,14,不具合,POS4U、BO,ジャーナル検索,"Blobからデータ取得の場合、
問題１：データ不連続
問題２：161横領収書除外されない",低,未着手,普通,,ジャーナル検索(BO、ローカル),,,,,,
,15,不具合,POS4U,給料天引き,給料天引き不具合,低,マージ待ち,普通,,給料天引き,,,392多の津差分,,,
,16,不具合,POS4U,支払,キャッシュレス,低,マージ待ち,普通,,途中チャージ、不足額を現金で支払い,,,392多の津差分,,,
,17,不具合,LogicService,返品,返品失敗(EndTran→VoidEndTran),低,未着手,普通,,返品API,,,,,,
,18,不具合,POS4U,レーンレジ,チェッカーとキャッシャーのManagedNoずれ,低,未着手,普通,,レーンレジ,,,保留,,,
,19,最適化,POS4U,お金表示,ToString(N0) ⇒ FormatUtility,低,未着手,簡単,,UI表示、レシート印字,,,具体的な画面とレシート,,,
,20,最適化,POS4U,返金チェックのタイマー,無効のコード(printInfoStore),低,未着手,簡単,,,,,,,,
,21,最適化,POS4U,売上,セルフ・オーダーはBusiness\POSフォルダ下に移動,低,未着手,普通,,セルフ・オーダー,,,要検討,,,
,22,最適化,BackgroundService,マスタ同期,一括配信しかない対象マスタの差分同期,低,未着手,普通,,マスタ同期,,,要整理検討,,,
,23,最適化,POS4U,UI,レジ袋3円／枚,低,未着手,普通,,メッセージと文字表示,,,,7234,受入テスト済み,
,24,最適化,POS4U,UI,ハードコーディングのメッセージ,低,未着手,簡単,,メッセージと文字表示,,,#6300,6300,調査済み,
,25,最適化,POS4U,UI,SalesViewは状態表示より複数コントロールを分けられる,低,未着手,難,,売上モードUI表示,,,可读性，可维护性,,,
,26,最適化,POS4U,デバイス,スキャナーとMSR、エラー発生する時の提示、オブザーバーからコマンド呼出,低,未着手,普通,,スキャナー、MSR,,,要検討,,,
,27,最適化,POS4U,釣銭機,釣銭機実装ソース最適化,低,未着手,難,,現金系業務,,,要整理検討,,,
,28,最適化,POS4U,開設,準備金の抑止0円登録：NodeType07ではなく、デバイス(釣銭機だけ)あるかどうか,低,開発完了,簡単,,開設,,,#3211,,運用側に確認中,
,29,最適化,POS4U,集計,キャッシャ別フラッシュ通過点数：商品点数ではなく、スキャニング成功回数,低,開発完了,普通,,集計、キャッシャ別フラッシュ,,,#3212,,運用側に確認中,
,30,最適化,POS4U,音声,音声ループ鳴らす（音声長さより）,低,調査完了,普通,,,,,,,,
,31,最適化,POS4U,26桁JAN,nowValue,低,調査完了,普通,,,,,,,,
,32,最適化,POS4U,SelfSalesTran,DeviceManager.GetDevice()共通化,低,調査完了,普通,,,,,,,,
,33,最適化,POS4U、LogicService、Lanucher,端末入替,BusinessCounterアップロード,低,調査完了,普通,,,,,,,,
,34,最適化,BO,BO帳票,BO帳票部門倍率抽出改善,低,未着手,普通,,BO帳票部門倍率,,,"保留
複数企画存在の場合、正しい倍率表示のため
基本的に複数企画がないです",,,
,35,最適化,POS4U,デバイス,デバイスエラー通知,低,未着手,難,,,,,保留,,,
,36,共通化,POS4U,Attendantモード,Attendantモード共通化,低,未着手,普通,,セルフ・セミ会計機・オーダー・チャージ機・現金会計機の係員呼出、係員操作,,,要検討,,,
,37,共通化,POS4U,デバイス,通信系ＴＬＳ1.2対応,低,未着手,普通,,ＶＤ通信、Azure通信、新決済など,,,要整理検討,5411,導入済み,
,38,共通化,POS4U,会員登録,"スキャン・MSR・ワンタイムバーコード・顔認証　
・登録／VDオフライン",低,未着手,難,,会員登録、リフレッシュ、VDオフライン,,,要整理,,,
,39,共通化,POS4U,小計,小計処理共通化（小計ボタン押下、お会計へボタン押下、レジ袋選択済、リモート年齢確認済、アテンダント年齢確認済、係員確認済）,低,未着手,普通,,小計,,,,,,
,40,共通化,POS4U,部分取消会員登録,部分取消、会員登録可否の共通化,低,未着手,普通,,部分取消の会員登録,,,,,,
,41,便利性,POS4U,シミュレーター,顔認証シミュレーター改善,低,未着手,普通,,顔認証シミュレーター,,,,,,
,42,便利性,RecordFileViewer,ログ,ログ見える化、問合せ減らす,低,未着手,普通,,,,,要整理検討,,,
